farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,crop_condition_description
FARM0112,Central USA,Wheat,16.25,6.57,25.58,231.96,51.13,4.02,Drip,Inorganic,25.84,2024-03-18,2024-07-13,117,4127.73,SENS0112,2024-07-01,15.741602,79.212506,0.39,Mild,"Farm FARM0112 located in Central USA is cultivating Wheat. The soil moisture is 16.25%, pH level is 6.57, and temperature is 25.58°C. Rainfall recorded is 231.96 mm with a humidity of 51.13% and sunlight duration of 4.02 hours. Irrigation type used is Drip. Fertilizer type is Inorganic with a pesticide usage of 25.84 ml. Crop sowing started on 2024-03-18 and is expected to be harvested by 2024-07-13, spanning 117 days. Yield is 4127.73 kg/hectare. Sensor used is SENS0112 with data recorded on 2024-07-01. Location coordinates are (15.741602, 79.212506). NDVI index is 0.39 and crop disease status is Mild."
FARM0113,North India,Wheat,38.33,6.34,30.32,270.94,40.78,5.24,Drip,Mixed,6.51,2024-03-22,2024-08-04,135,5488.85,SENS0113,2024-05-23,28.513527,78.045307,0.44,Mild,"Farm FARM0113 located in North India is cultivating Wheat. The soil moisture is 38.33%, pH level is 6.34, and temperature is 30.32°C. Rainfall recorded is 270.94 mm with a humidity of 40.78% and sunlight duration of 5.24 hours. Irrigation type used is Drip. Fertilizer type is Mixed with a pesticide usage of 6.51 ml. Crop sowing started on 2024-03-22 and is expected to be harvested by 2024-08-04, spanning 135 days. Yield is 5488.85 kg/hectare. Sensor used is SENS0113 with data recorded on 2024-05-23. Location coordinates are (28.513527, 78.045307). NDVI index is 0.44 and crop disease status is Mild."
FARM0114,North India,Rice,27.64,6.08,31.32,232.88,55.95,7.59,Manual,Organic,18.58,2024-01-22,2024-05-24,123,2884.17,SENS0114,2024-02-29,16.878848,81.134362,0.66,Mild,"Farm FARM0114 located in North India is cultivating Rice. The soil moisture is 27.64%, pH level is 6.08, and temperature is 31.32°C. Rainfall recorded is 232.88 mm with a humidity of 55.95% and sunlight duration of 7.59 hours. Irrigation type used is Manual. Fertilizer type is Organic with a pesticide usage of 18.58 ml. Crop sowing started on 2024-01-22 and is expected to be harvested by 2024-05-24, spanning 123 days. Yield is 2884.17 kg/hectare. Sensor used is SENS0114 with data recorded on 2024-02-29. Location coordinates are (16.878848, 81.134362). NDVI index is 0.66 and crop disease status is Mild."
FARM0115,South USA,Soybean,27.35,7.44,33.83,217.84,79.29,5.91,None,Inorganic,11.71,2024-02-06,2024-06-23,138,4151.71,SENS0115,2024-04-07,31.233523,76.014728,0.72,Severe,"Farm FARM0115 located in South USA is cultivating Soybean. The soil moisture is 27.35%, pH level is 7.44, and temperature is 33.83°C. Rainfall recorded is 217.84 mm with a humidity of 79.29% and sunlight duration of 5.91 hours. Irrigation type used is None. Fertilizer type is Inorganic with a pesticide usage of 11.71 ml. Crop sowing started on 2024-02-06 and is expected to be harvested by 2024-06-23, spanning 138 days. Yield is 4151.71 kg/hectare. Sensor used is SENS0115 with data recorded on 2024-04-07. Location coordinates are (31.233523, 76.014728). NDVI index is 0.72 and crop disease status is Severe."
FARM0116,North India,Soybean,24.44,6.33,25.6,147.1,52.75,5.98,Drip,Inorganic,43.12,2024-01-18,2024-06-02,136,5317.63,SENS0116,2024-01-31,16.71154,83.473438,0.66,None,"Farm FARM0116 located in North India is cultivating Soybean. The soil moisture is 24.44%, pH level is 6.33, and temperature is 25.6°C. Rainfall recorded is 147.1 mm with a humidity of 52.75% and sunlight duration of 5.98 hours. Irrigation type used is Drip. Fertilizer type is Inorganic with a pesticide usage of 43.12 ml. Crop sowing started on 2024-01-18 and is expected to be harvested by 2024-06-02, spanning 136 days. Yield is 5317.63 kg/hectare. Sensor used is SENS0116 with data recorded on 2024-01-31. Location coordinates are (16.71154, 83.473438). NDVI index is 0.66 and crop disease status is None."
FARM0117,South India,Soybean,35.35,6.62,24.59,267.37,56.65,9.74,Drip,Organic,47.17,2024-03-04,2024-07-19,137,5998.29,SENS0117,2024-07-04,32.861032,83.912526,0.72,Severe,"Farm FARM0117 located in South India is cultivating Soybean. The soil moisture is 35.35%, pH level is 6.62, and temperature is 24.59°C. Rainfall recorded is 267.37 mm with a humidity of 56.65% and sunlight duration of 9.74 hours. Irrigation type used is Drip. Fertilizer type is Organic with a pesticide usage of 47.17 ml. Crop sowing started on 2024-03-04 and is expected to be harvested by 2024-07-19, spanning 137 days. Yield is 5998.29 kg/hectare. Sensor used is SENS0117 with data recorded on 2024-07-04. Location coordinates are (32.861032, 83.912526). NDVI index is 0.72 and crop disease status is Severe."
FARM0118,South India,Soybean,21.26,6.07,24.33,212.18,55.42,6.16,None,Inorganic,9.44,2024-03-16,2024-08-01,138,5358.92,SENS0118,2024-05-07,19.267623,78.278603,0.64,Mild,"Farm FARM0118 located in South India is cultivating Soybean. The soil moisture is 21.26%, pH level is 6.07, and temperature is 24.33°C. Rainfall recorded is 212.18 mm with a humidity of 55.42% and sunlight duration of 6.16 hours. Irrigation type used is None. Fertilizer type is Inorganic with a pesticide usage of 9.44 ml. Crop sowing started on 2024-03-16 and is expected to be harvested by 2024-08-01, spanning 138 days. Yield is 5358.92 kg/hectare. Sensor used is SENS0118 with data recorded on 2024-05-07. Location coordinates are (19.267623, 78.278603). NDVI index is 0.64 and crop disease status is Mild."
FARM0119,South India,Wheat,19.13,7.37,26.58,154.39,47.62,5.98,None,Mixed,42.5,2024-02-18,2024-06-28,131,5773.86,SENS0119,2024-05-14,16.433169,86.431839,0.88,Severe,"Farm FARM0119 located in South India is cultivating Wheat. The soil moisture is 19.13%, pH level is 7.37, and temperature is 26.58°C. Rainfall recorded is 154.39 mm with a humidity of 47.62% and sunlight duration of 5.98 hours. Irrigation type used is None. Fertilizer type is Mixed with a pesticide usage of 42.5 ml. Crop sowing started on 2024-02-18 and is expected to be harvested by 2024-06-28, spanning 131 days. Yield is 5773.86 kg/hectare. Sensor used is SENS0119 with data recorded on 2024-05-14. Location coordinates are (16.433169, 86.431839). NDVI index is 0.88 and crop disease status is Severe."
FARM0120,South USA,Rice,35.65,6.2,17.8,186.64,49.2,9.34,Drip,Mixed,6.52,2024-01-27,2024-06-07,132,2194.06,SENS0120,2024-01-28,20.309806,86.850894,0.44,Mild,"Farm FARM0120 located in South USA is cultivating Rice. The soil moisture is 35.65%, pH level is 6.2, and temperature is 17.8°C. Rainfall recorded is 186.64 mm with a humidity of 49.2% and sunlight duration of 9.34 hours. Irrigation type used is Drip. Fertilizer type is Mixed with a pesticide usage of 6.52 ml. Crop sowing started on 2024-01-27 and is expected to be harvested by 2024-06-07, spanning 132 days. Yield is 2194.06 kg/hectare. Sensor used is SENS0120 with data recorded on 2024-01-28. Location coordinates are (20.309806, 86.850894). NDVI index is 0.44 and crop disease status is Mild."
FARM0121,North India,Rice,27.7,6.25,27.36,216.69,70.83,6.9,None,Organic,5.3,2024-03-14,2024-06-12,90,2066.9,SENS0121,2024-04-18,23.393453,75.733771,0.6,Severe,"Farm FARM0121 located in North India is cultivating Rice. The soil moisture is 27.7%, pH level is 6.25, and temperature is 27.36°C. Rainfall recorded is 216.69 mm with a humidity of 70.83% and sunlight duration of 6.9 hours. Irrigation type used is None. Fertilizer type is Organic with a pesticide usage of 5.3 ml. Crop sowing started on 2024-03-14 and is expected to be harvested by 2024-06-12, spanning 90 days. Yield is 2066.9 kg/hectare. Sensor used is SENS0121 with data recorded on 2024-04-18. Location coordinates are (23.393453, 75.733771). NDVI index is 0.6 and crop disease status is Severe."
FARM0122,South India,Wheat,42.13,6.55,19.82,204.95,52.62,6.13,None,Organic,21.79,2024-02-15,2024-06-20,126,2972.83,SENS0122,2024-05-14,15.646431,83.680833,0.81,None,"Farm FARM0122 located in South India is cultivating Wheat. The soil moisture is 42.13%, pH level is 6.55, and temperature is 19.82°C. Rainfall recorded is 204.95 mm with a humidity of 52.62% and sunlight duration of 6.13 hours. Irrigation type used is None. Fertilizer type is Organic with a pesticide usage of 21.79 ml. Crop sowing started on 2024-02-15 and is expected to be harvested by 2024-06-20, spanning 126 days. Yield is 2972.83 kg/hectare. Sensor used is SENS0122 with data recorded on 2024-05-14. Location coordinates are (15.646431, 83.680833). NDVI index is 0.81 and crop disease status is None."
FARM0123,North India,Cotton,23.27,6.61,16.12,52.36,48.57,7.0,None,Mixed,40.3,2024-03-28,2024-07-02,96,5579.16,SENS0123,2024-04-02,15.744162,88.025459,0.72,Severe,"Farm FARM0123 located in North India is cultivating Cotton. The soil moisture is 23.27%, pH level is 6.61, and temperature is 16.12°C. Rainfall recorded is 52.36 mm with a humidity of 48.57% and sunlight duration of 7.0 hours. Irrigation type used is None. Fertilizer type is Mixed with a pesticide usage of 40.3 ml. Crop sowing started on 2024-03-28 and is expected to be harvested by 2024-07-02, spanning 96 days. Yield is 5579.16 kg/hectare. Sensor used is SENS0123 with data recorded on 2024-04-02. Location coordinates are (15.744162, 88.025459). NDVI index is 0.72 and crop disease status is Severe."
FARM0124,Central USA,Wheat,42.35,6.87,20.61,185.76,72.91,5.08,Manual,Organic,48.27,2024-03-05,2024-07-21,138,5282.76,SENS0124,2024-06-14,33.221874,75.985538,0.64,Severe,"Farm FARM0124 located in Central USA is cultivating Wheat. The soil moisture is 42.35%, pH level is 6.87, and temperature is 20.61°C. Rainfall recorded is 185.76 mm with a humidity of 72.91% and sunlight duration of 5.08 hours. Irrigation type used is Manual. Fertilizer type is Organic with a pesticide usage of 48.27 ml. Crop sowing started on 2024-03-05 and is expected to be harvested by 2024-07-21, spanning 138 days. Yield is 5282.76 kg/hectare. Sensor used is SENS0124 with data recorded on 2024-06-14. Location coordinates are (33.221874, 75.985538). NDVI index is 0.64 and crop disease status is Severe."
FARM0125,East Africa,Maize,23.43,6.98,30.81,222.33,43.92,8.47,Manual,Organic,9.4,2024-01-27,2024-04-30,94,3362.37,SENS0125,2024-04-14,33.87146,77.934061,0.76,None,"Farm FARM0125 located in East Africa is cultivating Maize. The soil moisture is 23.43%, pH level is 6.98, and temperature is 30.81°C. Rainfall recorded is 222.33 mm with a humidity of 43.92% and sunlight duration of 8.47 hours. Irrigation type used is Manual. Fertilizer type is Organic with a pesticide usage of 9.4 ml. Crop sowing started on 2024-01-27 and is expected to be harvested by 2024-04-30, spanning 94 days. Yield is 3362.37 kg/hectare. Sensor used is SENS0125 with data recorded on 2024-04-14. Location coordinates are (33.87146, 77.934061). NDVI index is 0.76 and crop disease status is None."
FARM0126,Central USA,Cotton,27.17,6.21,33.82,157.96,73.98,7.96,Drip,Mixed,18.29,2024-01-23,2024-04-26,94,2328.15,SENS0126,2024-02-11,19.5,85.677806,0.39,Severe,"Farm FARM0126 located in Central USA is cultivating Cotton. The soil moisture is 27.17%, pH level is 6.21, and temperature is 33.82°C. Rainfall recorded is 157.96 mm with a humidity of 73.98% and sunlight duration of 7.96 hours. Irrigation type used is Drip. Fertilizer type is Mixed with a pesticide usage of 18.29 ml. Crop sowing started on 2024-01-23 and is expected to be harvested by 2024-04-26, spanning 94 days. Yield is 2328.15 kg/hectare. Sensor used is SENS0126 with data recorded on 2024-02-11. Location coordinates are (19.5, 85.677806). NDVI index is 0.39 and crop disease status is Severe."
FARM0127,Central USA,Maize,13.73,5.51,21.17,139.98,53.49,4.8,Sprinkler,Inorganic,25.2,2024-03-17,2024-07-11,116,2413.17,SENS0127,2024-03-28,18.847857,71.861285,0.66,Moderate,"Farm FARM0127 located in Central USA is cultivating Maize. The soil moisture is 13.73%, pH level is 5.51, and temperature is 21.17°C. Rainfall recorded is 139.98 mm with a humidity of 53.49% and sunlight duration of 4.8 hours. Irrigation type used is Sprinkler. Fertilizer type is Inorganic with a pesticide usage of 25.2 ml. Crop sowing started on 2024-03-17 and is expected to be harvested by 2024-07-11, spanning 116 days. Yield is 2413.17 kg/hectare. Sensor used is SENS0127 with data recorded on 2024-03-28. Location coordinates are (18.847857, 71.861285). NDVI index is 0.66 and crop disease status is Moderate."
FARM0128,South USA,Wheat,20.21,6.28,16.69,275.28,85.26,9.87,Sprinkler,Mixed,22.13,2024-01-09,2024-04-27,109,3073.63,SENS0128,2024-01-27,11.581679,78.693525,0.55,Severe,"Farm FARM0128 located in South USA is cultivating Wheat. The soil moisture is 20.21%, pH level is 6.28, and temperature is 16.69°C. Rainfall recorded is 275.28 mm with a humidity of 85.26% and sunlight duration of 9.87 hours. Irrigation type used is Sprinkler. Fertilizer type is Mixed with a pesticide usage of 22.13 ml. Crop sowing started on 2024-01-09 and is expected to be harvested by 2024-04-27, spanning 109 days. Yield is 3073.63 kg/hectare. Sensor used is SENS0128 with data recorded on 2024-01-27. Location coordinates are (11.581679, 78.693525). NDVI index is 0.55 and crop disease status is Severe."
FARM0129,North India,Maize,18.81,5.99,27.5,198.45,49.78,4.64,Manual,Organic,47.7,2024-02-27,2024-07-05,129,3519.56,SENS0129,2024-05-21,21.005573,78.612324,0.79,Mild,"Farm FARM0129 located in North India is cultivating Maize. The soil moisture is 18.81%, pH level is 5.99, and temperature is 27.5°C. Rainfall recorded is 198.45 mm with a humidity of 49.78% and sunlight duration of 4.64 hours. Irrigation type used is Manual. Fertilizer type is Organic with a pesticide usage of 47.7 ml. Crop sowing started on 2024-02-27 and is expected to be harvested by 2024-07-05, spanning 129 days. Yield is 3519.56 kg/hectare. Sensor used is SENS0129 with data recorded on 2024-05-21. Location coordinates are (21.005573, 78.612324). NDVI index is 0.79 and crop disease status is Mild."
FARM0130,Central USA,Maize,31.11,6.89,24.58,94.41,59.91,5.91,None,Mixed,40.19,2024-02-13,2024-05-30,107,5265.98,SENS0130,2024-04-03,19.125388,88.641343,0.42,Mild,"Farm FARM0130 located in Central USA is cultivating Maize. The soil moisture is 31.11%, pH level is 6.89, and temperature is 24.58°C. Rainfall recorded is 94.41 mm with a humidity of 59.91% and sunlight duration of 5.91 hours. Irrigation type used is None. Fertilizer type is Mixed with a pesticide usage of 40.19 ml. Crop sowing started on 2024-02-13 and is expected to be harvested by 2024-05-30, spanning 107 days. Yield is 5265.98 kg/hectare. Sensor used is SENS0130 with data recorded on 2024-04-03. Location coordinates are (19.125388, 88.641343). NDVI index is 0.42 and crop disease status is Mild."
FARM0131,East Africa,Wheat,43.36,6.42,29.17,159.61,54.57,8.16,None,Mixed,27.47,2024-03-10,2024-06-23,105,3010.73,SENS0131,2024-03-29,27.88091,85.781535,0.34,Severe,"Farm FARM0131 located in East Africa is cultivating Wheat. The soil moisture is 43.36%, pH level is 6.42, and temperature is 29.17°C. Rainfall recorded is 159.61 mm with a humidity of 54.57% and sunlight duration of 8.16 hours. Irrigation type used is None. Fertilizer type is Mixed with a pesticide usage of 27.47 ml. Crop sowing started on 2024-03-10 and is expected to be harvested by 2024-06-23, spanning 105 days. Yield is 3010.73 kg/hectare. Sensor used is SENS0131 with data recorded on 2024-03-29. Location coordinates are (27.88091, 85.781535). NDVI index is 0.34 and crop disease status is Severe."
FARM0132,East Africa,Cotton,28.7,7.35,32.39,154.58,41.84,9.81,Drip,Organic,39.6,2024-03-22,2024-07-12,112,2665.35,SENS0132,2024-06-08,11.107417,89.672164,0.71,Severe,"Farm FARM0132 located in East Africa is cultivating Cotton. The soil moisture is 28.7%, pH level is 7.35, and temperature is 32.39°C. Rainfall recorded is 154.58 mm with a humidity of 41.84% and sunlight duration of 9.81 hours. Irrigation type used is Drip. Fertilizer type is Organic with a pesticide usage of 39.6 ml. Crop sowing started on 2024-03-22 and is expected to be harvested by 2024-07-12, spanning 112 days. Yield is 2665.35 kg/hectare. Sensor used is SENS0132 with data recorded on 2024-06-08. Location coordinates are (11.107417, 89.672164). NDVI index is 0.71 and crop disease status is Severe."
FARM0133,Central USA,Cotton,13.71,5.7,19.44,236.71,67.9,8.13,Sprinkler,Inorganic,21.84,2024-02-25,2024-07-07,133,4354.36,SENS0133,2024-07-02,13.768623,89.954055,0.59,Moderate,"Farm FARM0133 located in Central USA is cultivating Cotton. The soil moisture is 13.71%, pH level is 5.7, and temperature is 19.44°C. Rainfall recorded is 236.71 mm with a humidity of 67.9% and sunlight duration of 8.13 hours. Irrigation type used is Sprinkler. Fertilizer type is Inorganic with a pesticide usage of 21.84 ml. Crop sowing started on 2024-02-25 and is expected to be harvested by 2024-07-07, spanning 133 days. Yield is 4354.36 kg/hectare. Sensor used is SENS0133 with data recorded on 2024-07-02. Location coordinates are (13.768623, 89.954055). NDVI index is 0.59 and crop disease status is Moderate."
FARM0134,South USA,Wheat,14.06,7.38,17.83,127.97,62.77,5.24,None,Inorganic,26.43,2024-02-24,2024-07-07,134,3809.79,SENS0134,2024-03-12,17.506602,86.203719,0.37,Moderate,"Farm FARM0134 located in South USA is cultivating Wheat. The soil moisture is 14.06%, pH level is 7.38, and temperature is 17.83°C. Rainfall recorded is 127.97 mm with a humidity of 62.77% and sunlight duration of 5.24 hours. Irrigation type used is None. Fertilizer type is Inorganic with a pesticide usage of 26.43 ml. Crop sowing started on 2024-02-24 and is expected to be harvested by 2024-07-07, spanning 134 days. Yield is 3809.79 kg/hectare. Sensor used is SENS0134 with data recorded on 2024-03-12. Location coordinates are (17.506602, 86.203719). NDVI index is 0.37 and crop disease status is Moderate."
FARM0135,North India,Rice,42.55,6.98,25.32,187.98,56.55,6.56,None,Organic,40.9,2024-03-06,2024-06-15,101,4561.92,SENS0135,2024-04-30,19.889559,84.747767,0.83,Severe,"Farm FARM0135 located in North India is cultivating Rice. The soil moisture is 42.55%, pH level is 6.98, and temperature is 25.32°C. Rainfall recorded is 187.98 mm with a humidity of 56.55% and sunlight duration of 6.56 hours. Irrigation type used is None. Fertilizer type is Organic with a pesticide usage of 40.9 ml. Crop sowing started on 2024-03-06 and is expected to be harvested by 2024-06-15, spanning 101 days. Yield is 4561.92 kg/hectare. Sensor used is SENS0135 with data recorded on 2024-04-30. Location coordinates are (19.889559, 84.747767). NDVI index is 0.83 and crop disease status is Severe."
FARM0136,East Africa,Cotton,23.61,6.91,19.12,238.08,80.44,4.38,Drip,Mixed,13.41,2024-02-07,2024-06-05,119,2455.82,SENS0136,2024-05-02,31.565914,80.5543,0.68,Severe,"Farm FARM0136 located in East Africa is cultivating Cotton. The soil moisture is 23.61%, pH level is 6.91, and temperature is 19.12°C. Rainfall recorded is 238.08 mm with a humidity of 80.44% and sunlight duration of 4.38 hours. Irrigation type used is Drip. Fertilizer type is Mixed with a pesticide usage of 13.41 ml. Crop sowing started on 2024-02-07 and is expected to be harvested by 2024-06-05, spanning 119 days. Yield is 2455.82 kg/hectare. Sensor used is SENS0136 with data recorded on 2024-05-02. Location coordinates are (31.565914, 80.5543). NDVI index is 0.68 and crop disease status is Severe."
FARM0137,East Africa,Cotton,30.55,6.2,31.91,204.34,80.69,8.24,Manual,Mixed,31.56,2024-03-05,2024-06-23,110,2471.45,SENS0137,2024-04-13,12.923723,77.466121,0.38,Severe,"Farm FARM0137 located in East Africa is cultivating Cotton. The soil moisture is 30.55%, pH level is 6.2, and temperature is 31.91°C. Rainfall recorded is 204.34 mm with a humidity of 80.69% and sunlight duration of 8.24 hours. Irrigation type used is Manual. Fertilizer type is Mixed with a pesticide usage of 31.56 ml. Crop sowing started on 2024-03-05 and is expected to be harvested by 2024-06-23, spanning 110 days. Yield is 2471.45 kg/hectare. Sensor used is SENS0137 with data recorded on 2024-04-13. Location coordinates are (12.923723, 77.466121). NDVI index is 0.38 and crop disease status is Severe."
FARM0138,South USA,Soybean,14.83,6.27,18.72,208.88,74.67,7.87,Sprinkler,Mixed,12.51,2024-02-05,2024-05-16,101,3258.32,SENS0138,2024-04-02,25.485249,87.310445,0.87,Severe,"Farm FARM0138 located in South USA is cultivating Soybean. The soil moisture is 14.83%, pH level is 6.27, and temperature is 18.72°C. Rainfall recorded is 208.88 mm with a humidity of 74.67% and sunlight duration of 7.87 hours. Irrigation type used is Sprinkler. Fertilizer type is Mixed with a pesticide usage of 12.51 ml. Crop sowing started on 2024-02-05 and is expected to be harvested by 2024-05-16, spanning 101 days. Yield is 3258.32 kg/hectare. Sensor used is SENS0138 with data recorded on 2024-04-02. Location coordinates are (25.485249, 87.310445). NDVI index is 0.87 and crop disease status is Severe."
FARM0139,South India,Rice,38.53,7.43,25.11,173.74,74.23,6.49,None,Inorganic,12.53,2024-03-01,2024-07-19,140,5044.23,SENS0139,2024-05-14,10.817377,74.496868,0.47,Severe,"Farm FARM0139 located in South India is cultivating Rice. The soil moisture is 38.53%, pH level is 7.43, and temperature is 25.11°C. Rainfall recorded is 173.74 mm with a humidity of 74.23% and sunlight duration of 6.49 hours. Irrigation type used is None. Fertilizer type is Inorganic with a pesticide usage of 12.53 ml. Crop sowing started on 2024-03-01 and is expected to be harvested by 2024-07-19, spanning 140 days. Yield is 5044.23 kg/hectare. Sensor used is SENS0139 with data recorded on 2024-05-14. Location coordinates are (10.817377, 74.496868). NDVI index is 0.47 and crop disease status is Severe."
FARM0140,East Africa,Cotton,29.24,5.73,17.28,243.78,81.16,6.2,Drip,Mixed,24.86,2024-01-14,2024-04-19,96,4943.95,SENS0140,2024-04-06,28.783637,75.954179,0.9,Severe,"Farm FARM0140 located in East Africa is cultivating Cotton. The soil moisture is 29.24%, pH level is 5.73, and temperature is 17.28°C. Rainfall recorded is 243.78 mm with a humidity of 81.16% and sunlight duration of 6.2 hours. Irrigation type used is Drip. Fertilizer type is Mixed with a pesticide usage of 24.86 ml. Crop sowing started on 2024-01-14 and is expected to be harvested by 2024-04-19, spanning 96 days. Yield is 4943.95 kg/hectare. Sensor used is SENS0140 with data recorded on 2024-04-06. Location coordinates are (28.783637, 75.954179). NDVI index is 0.9 and crop disease status is Severe."
FARM0141,Central USA,Maize,40.18,5.67,32.31,79.35,80.59,5.26,Manual,Mixed,32.46,2024-02-06,2024-06-14,129,2556.94,SENS0141,2024-03-29,30.338247,86.10881,0.64,Moderate,"Farm FARM0141 located in Central USA is cultivating Maize. The soil moisture is 40.18%, pH level is 5.67, and temperature is 32.31°C. Rainfall recorded is 79.35 mm with a humidity of 80.59% and sunlight duration of 5.26 hours. Irrigation type used is Manual. Fertilizer type is Mixed with a pesticide usage of 32.46 ml. Crop sowing started on 2024-02-06 and is expected to be harvested by 2024-06-14, spanning 129 days. Yield is 2556.94 kg/hectare. Sensor used is SENS0141 with data recorded on 2024-03-29. Location coordinates are (30.338247, 86.10881). NDVI index is 0.64 and crop disease status is Moderate."
FARM0142,East Africa,Soybean,15.89,7.46,20.85,193.18,87.62,7.09,Drip,Organic,48.32,2024-02-02,2024-05-19,107,5468.19,SENS0142,2024-02-18,27.535663,72.653817,0.39,Moderate,"Farm FARM0142 located in East Africa is cultivating Soybean. The soil moisture is 15.89%, pH level is 7.46, and temperature is 20.85°C. Rainfall recorded is 193.18 mm with a humidity of 87.62% and sunlight duration of 7.09 hours. Irrigation type used is Drip. Fertilizer type is Organic with a pesticide usage of 48.32 ml. Crop sowing started on 2024-02-02 and is expected to be harvested by 2024-05-19, spanning 107 days. Yield is 5468.19 kg/hectare. Sensor used is SENS0142 with data recorded on 2024-02-18. Location coordinates are (27.535663, 72.653817). NDVI index is 0.39 and crop disease status is Moderate."
FARM0143,South India,Cotton,27.13,6.65,20.37,153.56,62.6,7.8,Drip,Inorganic,28.2,2024-02-23,2024-07-21,149,5509.27,SENS0143,2024-06-18,33.756352,76.545786,0.3,None,"Farm FARM0143 located in South India is cultivating Cotton. The soil moisture is 27.13%, pH level is 6.65, and temperature is 20.37°C. Rainfall recorded is 153.56 mm with a humidity of 62.6% and sunlight duration of 7.8 hours. Irrigation type used is Drip. Fertilizer type is Inorganic with a pesticide usage of 28.2 ml. Crop sowing started on 2024-02-23 and is expected to be harvested by 2024-07-21, spanning 149 days. Yield is 5509.27 kg/hectare. Sensor used is SENS0143 with data recorded on 2024-06-18. Location coordinates are (33.756352, 76.545786). NDVI index is 0.3 and crop disease status is None."
FARM0144,South USA,Maize,39.75,7.09,22.95,292.03,81.24,6.97,Manual,Inorganic,20.2,2024-03-05,2024-07-09,126,5409.69,SENS0144,2024-06-13,18.593491,83.651039,0.33,None,"Farm FARM0144 located in South USA is cultivating Maize. The soil moisture is 39.75%, pH level is 7.09, and temperature is 22.95°C. Rainfall recorded is 292.03 mm with a humidity of 81.24% and sunlight duration of 6.97 hours. Irrigation type used is Manual. Fertilizer type is Inorganic with a pesticide usage of 20.2 ml. Crop sowing started on 2024-03-05 and is expected to be harvested by 2024-07-09, spanning 126 days. Yield is 5409.69 kg/hectare. Sensor used is SENS0144 with data recorded on 2024-06-13. Location coordinates are (18.593491, 83.651039). NDVI index is 0.33 and crop disease status is None."
FARM0145,South USA,Wheat,14.35,7.22,23.83,50.17,87.9,5.21,Sprinkler,Mixed,18.58,2024-02-03,2024-06-13,131,3441.74,SENS0145,2024-02-24,19.296094,88.076005,0.4,Severe,"Farm FARM0145 located in South USA is cultivating Wheat. The soil moisture is 14.35%, pH level is 7.22, and temperature is 23.83°C. Rainfall recorded is 50.17 mm with a humidity of 87.9% and sunlight duration of 5.21 hours. Irrigation type used is Sprinkler. Fertilizer type is Mixed with a pesticide usage of 18.58 ml. Crop sowing started on 2024-02-03 and is expected to be harvested by 2024-06-13, spanning 131 days. Yield is 3441.74 kg/hectare. Sensor used is SENS0145 with data recorded on 2024-02-24. Location coordinates are (19.296094, 88.076005). NDVI index is 0.4 and crop disease status is Severe."
FARM0146,Central USA,Rice,25.02,5.68,16.9,103.36,43.9,7.56,None,Organic,5.36,2024-02-27,2024-06-03,97,5952.62,SENS0146,2024-04-21,27.350775,79.554005,0.44,None,"Farm FARM0146 located in Central USA is cultivating Rice. The soil moisture is 25.02%, pH level is 5.68, and temperature is 16.9°C. Rainfall recorded is 103.36 mm with a humidity of 43.9% and sunlight duration of 7.56 hours. Irrigation type used is None. Fertilizer type is Organic with a pesticide usage of 5.36 ml. Crop sowing started on 2024-02-27 and is expected to be harvested by 2024-06-03, spanning 97 days. Yield is 5952.62 kg/hectare. Sensor used is SENS0146 with data recorded on 2024-04-21. Location coordinates are (27.350775, 79.554005). NDVI index is 0.44 and crop disease status is None."
FARM0147,North India,Wheat,20.97,7.26,17.74,243.37,77.66,4.8,Sprinkler,Organic,28.87,2024-01-20,2024-05-30,131,2656.47,SENS0147,2024-04-18,28.060801,82.561601,0.39,Severe,"Farm FARM0147 located in North India is cultivating Wheat. The soil moisture is 20.97%, pH level is 7.26, and temperature is 17.74°C. Rainfall recorded is 243.37 mm with a humidity of 77.66% and sunlight duration of 4.8 hours. Irrigation type used is Sprinkler. Fertilizer type is Organic with a pesticide usage of 28.87 ml. Crop sowing started on 2024-01-20 and is expected to be harvested by 2024-05-30, spanning 131 days. Yield is 2656.47 kg/hectare. Sensor used is SENS0147 with data recorded on 2024-04-18. Location coordinates are (28.060801, 82.561601). NDVI index is 0.39 and crop disease status is Severe."
FARM0148,East Africa,Cotton,40.1,5.67,17.01,238.11,69.48,6.3,None,Inorganic,40.6,2024-01-09,2024-05-19,131,2336.99,SENS0148,2024-03-21,29.474241,83.809522,0.81,Moderate,"Farm FARM0148 located in East Africa is cultivating Cotton. The soil moisture is 40.1%, pH level is 5.67, and temperature is 17.01°C. Rainfall recorded is 238.11 mm with a humidity of 69.48% and sunlight duration of 6.3 hours. Irrigation type used is None. Fertilizer type is Inorganic with a pesticide usage of 40.6 ml. Crop sowing started on 2024-01-09 and is expected to be harvested by 2024-05-19, spanning 131 days. Yield is 2336.99 kg/hectare. Sensor used is SENS0148 with data recorded on 2024-03-21. Location coordinates are (29.474241, 83.809522). NDVI index is 0.81 and crop disease status is Moderate."
